,name,website,reviews_score,reviews_amount,phone,googlemaps_link,category,zone
18,Sublimaciones Vatetita,0,4.0,4.0,03516246463,"https://www.google.com/maps/place/Sublimaciones+Vatetita/@-31.3782123,-64.4373269,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x943299f71768ee3b:0xebbe6cc47b05a404!8m2!3d-31.4014965!4d-64.2396308!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFGN1c3RvbV90X3NoaXJ0X3N0b3Jl4AEA!16s%2Fg%2F11gyyc0nmd?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
20,LyD sublimacion estampados,0,,,03512215759,"https://www.google.com/maps/place/LyD+sublimacion+estampados/@-31.4014965,-64.5280219,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a328897f1ac1:0x12b1e5dd01b4c691!8m2!3d-31.4463462!4d-64.193692!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb5IBEGdyYXBoaWNfZGVzaWduZXLgAQA!16s%2Fg%2F11ssjw9fgc?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
21,Sublicor Insumos de Sublimación,0,4.3,58.0,03512137166,"https://www.google.com/maps/place/Sublicor+Insumos+de+Sublimaci%C3%B3n/@-31.4014965,-64.5280219,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x943299b6d679a55d:0x13c09fa6d9d3bc61!8m2!3d-31.4122346!4d-64.1992209!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCWdpZnRfc2hvcOABAA!16s%2Fg%2F11hdjcn3q0?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
23,Bfa Integral Sublimacion,0,4.8,6.0,0,"https://www.google.com/maps/place/Bfa+Integral+Sublimacion/@-31.375347,-64.4398241,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432985b491646c5:0xc4bad604cbc49fa!8m2!3d-31.3846039!4d-64.183649!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBBXN0b3Jl4AEA!16s%2Fg%2F11hyl568tk?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
24,Suburbana |Estampado y sublimación |,0,5.0,8.0,01127781566,"https://www.google.com/maps/place/Suburbana+%7CEstampado+y+sublimaci%C3%B3n+%7C/@-34.8450485,-58.8051956,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x95bcd1e07e31b2fd:0x777cba6fd4422ec1!8m2!3d-34.8450485!4d-58.5168045!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb5IBDG1hbnVmYWN0dXJlcuABAA!16s%2Fg%2F11nyn49pwg?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
25,Sum.er Sublimación y Diseño,0,4.6,21.0,0351156430552,"https://www.google.com/maps/place/Sum.er+Sublimaci%C3%B3n+y+Dise%C3%B1o/@-31.3144565,-64.547127,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a3c45e416ebf:0x39457f80c3f059b4!8m2!3d-31.3144565!4d-64.2587359!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBDmNsb3RoaW5nX3N0b3Jl4AEA!16s%2Fg%2F11h23hv1_9?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
26,"Sublimación punilla ,remeras y gorras",0,,,03548631622,"https://www.google.com/maps/place/Sublimaci%C3%B3n+punilla+,remeras+y+gorras/@-31.1239154,-64.7717116,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x942d83de01f60805:0xf399c0244125ec6d!8m2!3d-31.1239154!4d-64.4833205!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb5IBFm1ldGFsX3N0YW1waW5nX3NlcnZpY2XgAQA!16s%2Fg%2F11syrn9bdh?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
27,True Sublimacion,0,,,03512326194,"https://www.google.com/maps/place/True+Sublimacion/@-31.1239154,-64.7717116,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a3dd78a60f15:0x612468d6b4d9f3f!8m2!3d-31.4200833!4d-64.1887761!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCnByaW50X3Nob3DgAQA!16s%2Fg%2F11pcmrkrgh?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
29,Click  Print,0,3.8,13.0,03514824045,"https://www.google.com/maps/place/Click+%26+Print/@-31.4200833,-64.4771672,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x94329922ddd8155d:0x5efb9f4d8d2df6f4!8m2!3d-31.368288!4d-64.2212882!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCnByaW50X3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnBjM1JMU1c1blJSQULgAQA!16s%2Fg%2F1hf6cl4tl?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
30,Bfa Servicio Integral,0,4.6,263.0,0351153348141,"https://www.google.com/maps/place/Bfa+Servicio+Integral/@-31.4200833,-64.4771672,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432984d5b466959:0xd7dafe2d7f119dfa!8m2!3d-31.3862751!4d-64.183402!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCWdpZnRfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSNWR6aHFTM1puUlJBQuABAA!16s%2Fg%2F11bbrj37vv?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
34,RyP Bordados y Sublimación,0,4.8,25.0,03512281336,"https://www.google.com/maps/place/RyP+Bordados+y+Sublimaci%C3%B3n/@-31.4198724,-64.4771677,11z/data=!4m10!1m2!2m1!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+San+Vicente!3m6!1s0x9432a374ebfb117f:0xd002f33aeddf0e5f!8m2!3d-31.4531711!4d-64.1678183!15sCkNFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFNhbiBWaWNlbnRlWkUiQ2VtcHJlc2EgZGUgc3VibGltYWNpb24geSBlc3RhbXBhZG8gZW4gcHJvdmluY2lhIGNvcmRvYmEgc2FuIHZpY2VudGWSAQ9lbWJyb2lkZXJ5X3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRkRXhmWm5sQlJSQULgAQA!16s%2Fg%2F11gw2rxhb4?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba San Vicente
37,JeMo sublimaciones,0,,,0351155101573,"https://www.google.com/maps/place/JeMo+sublimaciones/@-31.325736,-64.5582572,11z/data=!4m10!1m2!2m1!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+San+Vicente!3m6!1s0x9432a3ac75b9eb83:0x4cd9d7ca071a6740!8m2!3d-31.4225416!4d-64.151556!15sCkNFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFNhbiBWaWNlbnRlWkUiQ2VtcHJlc2EgZGUgc3VibGltYWNpb24geSBlc3RhbXBhZG8gZW4gcHJvdmluY2lhIGNvcmRvYmEgc2FuIHZpY2VudGWSAQVzdG9yZeABAA!16s%2Fg%2F11rcwsw0l8?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba San Vicente
43,Sublimacion Center,0,5.0,1.0,0351153878475,"https://www.google.com/maps/place/Sublimacion+Center/@-31.3862751,-64.4717931,11z/data=!4m10!1m2!2m1!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+San+Vicente!3m6!1s0x94329961b76bdd6f:0x69e017571c75c7c5!8m2!3d-31.3842376!4d-64.1594488!15sCkNFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFNhbiBWaWNlbnRlkgEYZGlnaXRhbF9wcmludGluZ19zZXJ2aWNl4AEA!16s%2Fg%2F11rvg06gcf?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba San Vicente
44,SubliRey/ Sublimación/Estampados/Vinilos,0,,,03512073138,"https://www.google.com/maps/place/SubliRey%2F+Sublimaci%C3%B3n%2FEstampados%2FVinilos/@-31.3862751,-64.4717931,11z/data=!4m10!1m2!2m1!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+San+Vicente!3m6!1s0x9432a3ff5a7c71e1:0x8aed308e3bf4eb35!8m2!3d-31.4900807!4d-64.236748!15sCkNFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFNhbiBWaWNlbnRlkgEQdGV4dGlsZV9leHBvcnRlcuABAA!16s%2Fg%2F11sqthwq4c?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba San Vicente
45,DiseñaT Sublimación,0,5.0,1.0,03516516330,"https://www.google.com/maps/place/Dise%C3%B1aT+Sublimaci%C3%B3n/@-31.4900807,-64.5251391,11z/data=!4m10!1m2!2m1!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+San+Vicente!3m6!1s0x9432a1ddce4ddf71:0x29e7fcd127f475a2!8m2!3d-31.4764884!4d-64.2440215!15sCkNFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFNhbiBWaWNlbnRlWkUiQ2VtcHJlc2EgZGUgc3VibGltYWNpb24geSBlc3RhbXBhZG8gZW4gcHJvdmluY2lhIGNvcmRvYmEgc2FuIHZpY2VudGWSAQ5jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11hd_yztlb?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba San Vicente
75,Luvis Estampados,0,,,03517024231,"https://www.google.com/maps/place/Luvis+Estampados/@-31.4217676,-64.4805574,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Alto+Alberdi!6e6!3m6!1s0x943299641bc6b0db:0xbfa8e70d14399e40!8m2!3d-31.4071024!4d-64.2201365!15sCkRFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIEFsdG8gQWxiZXJkaVpGIkRlbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGFsdG8gYWxiZXJkaZIBFHNjcmVlbl9wcmludGluZ19zaG9w4AEA!16s%2Fg%2F11gns0dkg_?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Alto Alberdi
78,Doma Uniformes,0,,,0351157035492,"https://www.google.com/maps/place/Doma+Uniformes/@-31.4217676,-64.4805574,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Alto+Alberdi!6e6!3m6!1s0x9432a3b2a9cc12fd:0x520c4abfcd47962e!8m2!3d-31.4059719!4d-64.2196383!15sCkRFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIEFsdG8gQWxiZXJkaVpGIkRlbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGFsdG8gYWxiZXJkaZIBDXVuaWZvcm1fc3RvcmXgAQA!16s%2Fg%2F11bw3dh_65?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Alto Alberdi
85,Guillotina - Marmai Estampados,0,,,03517134779,"https://www.google.com/maps/place/Guillotina+-+Marmai+Estampados/@-31.3842376,-64.4478399,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Alto+Alberdi!6e6!3m6!1s0x9432a3154ac31e23:0x3f0e3f3b5f6d4e49!8m2!3d-31.4160949!4d-64.1969536!15sCkRFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIEFsdG8gQWxiZXJkaVpGIkRlbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGFsdG8gYWxiZXJkaZIBDmNsb3RoaW5nX3N0b3Jl4AEA!16s%2Fg%2F11h7p5vcjz?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Alto Alberdi
99,Grafica Fuente,0,5.0,3.0,03516072357,"https://www.google.com/maps/place/Grafica+Fuente/@-31.4900807,-64.5251391,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Alto+Alberdi!6e6!3m6!1s0x9432bd5f706f6007:0xb7a44a1b981e0fd7!8m2!3d-31.4347725!4d-64.1378565!15sCkRFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIEFsdG8gQWxiZXJkaZIBEmNvbW1lcmNpYWxfcHJpbnRlcuABAA!16s%2Fg%2F11j6hyqx20?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Alto Alberdi
120,Estudio Digital VCP,0,5.0,23.0,03541378789,"https://www.google.com/maps/place/Estudio+Digital+VCP/@-31.4900807,-64.5251391,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Villa+Cabrera!6e6!3m6!1s0x942d674618e928f7:0x2eb06d8e29d907a3!8m2!3d-31.4333634!4d-64.495416!15sCkVFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFZpbGxhIENhYnJlcmFaRyJFZW1wcmVzYSBkZSBzdWJsaW1hY2lvbiB5IGVzdGFtcGFkbyBlbiBwcm92aW5jaWEgY29yZG9iYSB2aWxsYSBjYWJyZXJhkgEaZGVza3RvcF9wdWJsaXNoaW5nX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmFlSFo1Vkc1blJSQULgAQA!16s%2Fg%2F11fm550hpw?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Villa Cabrera
128,Azteca Sublimaciones,0,4.9,15.0,03547639823,"https://www.google.com/maps/place/Azteca+Sublimaciones/@-31.375347,-64.4398241,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Villa+Cabrera!6e6!3m6!1s0x942d576f08a9ed39:0xcdcaf404f35bbb40!8m2!3d-31.6561499!4d-64.422885!15sCkVFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFZpbGxhIENhYnJlcmGSARFlbWJvc3Npbmdfc2VydmljZeABAA!16s%2Fg%2F11lljgsrx6?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Villa Cabrera
